
----------------------header--------------------------
2017-03-01 09:37:05,533 [8] DEBUG DalLogger - 访问数据库DAL.DAO.MeetingDAO
2017-03-01 09:37:05,537 [8] DEBUG DalLogger - 访问数据库DAL.DAO.MeetingDAO
2017-03-01 09:37:05,537 [8] DEBUG DalLogger - 访问数据库DAL.DAO.DelegateDAO
2017-03-01 09:37:05,537 [8] DEBUG DalLogger - 访问数据库DAL.DAO.DeviceDAO
2017-03-01 09:37:05,543 [8] DEBUG DalLogger - 访问数据库DAL.DAO.DelegateDAO
2017-03-01 09:37:05,543 [8] DEBUG DalLogger - 访问数据库DAL.DAO.DeviceDAO
2017-03-01 09:37:05,543 [8] DEBUG DalLogger - 访问数据库DAL.DAO.PersonDAO
2017-03-01 09:37:07,168 [8] DEBUG DalLogger - 访问数据库DAL.DAO.MeetingDAO
2017-03-01 09:37:07,168 [8] DEBUG DalLogger - 访问数据库DAL.DAO.MeetingPlaceDAO
2017-03-01 09:37:07,168 [8] DEBUG DalLogger - 访问数据库DAL.DAO.LongTableDAO
2017-03-01 09:37:07,247 [6] DEBUG DalLogger - 访问数据库DAL.DAO.MeetingPlaceDAO
2017-03-01 09:37:07,247 [6] DEBUG DalLogger - 访问数据库DAL.DAO.LongTableDAO
2017-03-01 09:37:07,262 [6] DEBUG DalLogger - 访问数据库DAL.DAO.DelegateDAO
2017-03-01 09:37:07,263 [6] DEBUG DalLogger - 访问数据库DAL.DAO.DeviceDAO
2017-03-01 09:37:07,263 [6] DEBUG DalLogger - 访问数据库DAL.DAO.PersonDAO

----------------------header--------------------------
2017-03-01 10:39:14,095 [1] DEBUG DalLogger - 访问数据库DAL.DAO.PersonDAO
2017-03-01 10:39:14,474 [1] DEBUG DalLogger - 访问数据库DAL.DAO.RoleDAO
2017-03-01 10:39:14,478 [1] DEBUG DalLogger - 访问数据库DAL.DAO.Person_RoleDAO
2017-03-01 10:39:14,482 [1] DEBUG DalLogger - 访问数据库DAL.DAO.PermissionDAO
2017-03-01 10:39:14,484 [1] DEBUG DalLogger - 访问数据库DAL.DAO.Role_PermissionDAO
2017-03-01 10:39:14,488 [1] DEBUG DalLogger - 访问数据库DAL.DAO.DeviceDAO
2017-03-01 10:39:14,495 [1] DEBUG DalLogger - 访问数据库DAL.DAO.MeetingPlaceDAO
2017-03-01 10:39:14,498 [1] DEBUG DalLogger - 访问数据库DAL.DAO.LongTableDAO
2017-03-01 10:39:14,501 [1] DEBUG DalLogger - 访问数据库DAL.DAO.MeetingDAO
2017-03-01 10:39:14,505 [1] DEBUG DalLogger - 访问数据库DAL.DAO.DelegateDAO
2017-03-01 10:39:14,509 [1] DEBUG DalLogger - 访问数据库DAL.DAO.AgendaDAO
2017-03-01 10:39:14,513 [1] DEBUG DalLogger - 访问数据库DAL.DAO.FileDAO
2017-03-01 10:39:14,516 [1] DEBUG DalLogger - 访问数据库DAL.DAO.VoteDAO
2017-03-01 10:39:14,519 [1] DEBUG DalLogger - 访问数据库DAL.DAO.VoteOptionDAO
2017-03-01 10:39:14,524 [1] DEBUG DalLogger - 访问数据库DAL.DAO.VoteOptionPersonResultDAO
2017-03-01 10:39:14,872 [1] INFO  DalLogger - mysql 非查询执行 : delete from person;
MySql.Data.MySqlClient.MySqlException (0x80004005): Cannot delete or update a parent row: a foreign key constraint fails (`testdal2`.`person_role`, CONSTRAINT `FK_PERSON_ROLE_PERSONID` FOREIGN KEY (`personID`) REFERENCES `person` (`personID`))
